# sloWNet	slv	http://lojze.lugos.si/darja/slownet.html	CC BY SA 3.0 
00001740-a	slv:lemma	sposoben
00001740-a	slv:lemma	zmožen
00001740-n	slv:def	0	filozofski pojem, ki je vezan na obstojnost česarkoli v danem prostoru in času pa kljub temu ni nujno vezano na materialno pojavnost; nekaj kar je, kar obstaja
00001740-n	slv:lemma	entiteta
00001740-v	slv:lemma	dihati
00001740-v	slv:lemma	vdihniti
00001930-n	slv:lemma	fizična entiteta
00002137-n	slv:lemma	abstrakcija
00002312-a	slv:lemma	hrbten
00002452-n	slv:lemma	reč
00002452-n	slv:lemma	stvar
00002621-r	slv:lemma	komaj
00002621-r	slv:lemma	težko
00002684-n	slv:lemma	predmet
00003093-r	slv:lemma	komaj
00003093-r	slv:lemma	težko
00003356-a	slv:lemma	porajajoč
00003483-r	slv:lemma	bistveno
00003483-r	slv:lemma	glavno
00003483-r	slv:lemma	načeloma
00003483-r	slv:lemma	poglavitno
00003483-r	slv:lemma	pravzaprav
00003553-n	slv:lemma	celota
00003826-v	slv:lemma	kolcati
00004032-v	slv:lemma	vzdihovati
00004227-v	slv:lemma	izdihniti
00004227-v	slv:lemma	izpuhtevati
00004227-v	slv:lemma	poteči
00004258-n	slv:lemma	živo bitje
00004296-a	slv:lemma	zadnji
00004413-a	slv:lemma	okrajšan
00004475-n	slv:lemma	bitje
00004475-n	slv:lemma	organizem
00004492-v	slv:lemma	imeti
00004722-r	slv:lemma	a
00004722-r	slv:lemma	ali
00004722-r	slv:lemma	ampak
00004722-r	slv:lemma	edino
00004722-r	slv:lemma	le
00004722-r	slv:lemma	pak
00004722-r	slv:lemma	razen
00004722-r	slv:lemma	samo
00004722-r	slv:lemma	toda
00004722-r	slv:lemma	čeprav
00004722-r	slv:lemma	šele
00005041-v	slv:lemma	inhalirati
00005041-v	slv:lemma	inspirirati
00005041-v	slv:lemma	vdihniti
00005205-a	slv:lemma	absoluten
00005205-a	slv:lemma	popoln
00005473-a	slv:lemma	neposreden
00005526-v	slv:lemma	sopihati
00005526-v	slv:lemma	sopsti
00005599-a	slv:lemma	brezpogojen
00005779-r	slv:lemma	silno
00005779-r	slv:lemma	zelo
00005815-v	slv:lemma	kašljati
00006032-a	slv:lemma	primerjalen
00006032-a	slv:lemma	relativen
00006105-r	slv:exe	0	Sem pride malo turistov, pa še to so po večini bogati Francozi, ki se umaknejo iz mrzle domovine v rajske kraje in od tod vodijo posle doma.
00006105-r	slv:lemma	po večini
00006105-r	slv:lemma	večinoma
00006150-n	slv:lemma	starš
00006269-n	slv:exe	0	Vojne poleg tega terjajo velikansko ceno v človeških življenjih, razdejanju in psiholoških posledicah, ki se celijo več generacij.
00006269-n	slv:lemma	življenje
00006336-a	slv:lemma	absorptiven
00006336-a	slv:lemma	vpojen
00006484-n	slv:lemma	celica
00007015-r	slv:lemma	blizu
00007015-r	slv:lemma	okroglo
00007015-r	slv:lemma	približno
00007015-r	slv:lemma	skoraj
00007096-a	slv:lemma	higroskopen
00007328-v	slv:lemma	zehati
00007347-n	slv:lemma	agens
00007347-n	slv:lemma	gibalo
00007347-n	slv:lemma	povod
00007347-n	slv:lemma	vzrok
00007703-r	slv:lemma	delno
00007703-r	slv:lemma	deloma
00007739-v	slv:lemma	mežikati
00007846-n	slv:exe	0	Naprava BICOM je torej nekakšna zbirka impulzov, oblikovanih v zdravilne programe, ki pospešujejo zdravljenje in normalizacijo presnovnih procesov v telesu, toda na koncu je vseeno od človeka, ki upravlja z aparatom, in od njegovih izkušenj odvisno, ali bo pravilno postavil diagnozo in izbral pravi program za bolnika.
00007846-n	slv:exe	1	Zaradi nizkih plač v Sloveniji bi namreč na Koroško prihajala poceni delovna sila in tamkajšnji ljudje bi izgubljali delo.
00007846-n	slv:exe	10	Njegov rojak Lewis Goldberg, ki je vpeljal pojem "velika peterica", pa je ugotovil, da se vsak od nas, ko prvič sreča novega človeka, v mislih vpraša prav po teh petih osebnostnih lastnostih: "Je zanesljiv, dobrosrčen in prijeten, ali pa morda nezanesljiv, hladen in zoprn?
00007846-n	slv:exe	11	Človek nenehno presega snovnost, zasužnjenost materiji in se dviga nad vse.
00007846-n	slv:exe	12	Ta človek bi lahko zakadil strope cele hiše.
00007846-n	slv:exe	13	Travma torej ni zgolj proces, ki človeka osami in naredi drugačnega od vseh drugih ljudi, temveč lahko tudi ustvarja skupnost.
00007846-n	slv:exe	14	Danes ljudje, ki so delovali v nekdanji Jugoslaviji, ob meni še Jani Koman in Jože Mikeln, v strokovnih organizacijah zveze nimamo nobene vloge.
00007846-n	slv:exe	15	Shakespearov opus je sicer (zaradi preglednosti) porazdeljen na posamezna obdobja in zvrsti, vendar je kljub razlikam med posameznimi deli med seboj povezan z mnogimi temeljnimi vprašanji o človeku in njegovem statusu na planetu Zemlja.
00007846-n	slv:exe	16	Drugi je Brus (pavliha), ki je tudi filozofično nadarjen, je pa “človek iz ljudstva” in sprejme vlogo Norca zato, da bo lahko neobremenjeno govoril resnico.
00007846-n	slv:exe	17	Vse je torej v človeku in v spletu dogodkov, ki jih povzročajo ljudje s svojimi različnimi interesi, značajskimi potezami in strastmi.
00007846-n	slv:exe	18	V človeku zmeraj tiči “rogata muka”.
00007846-n	slv:exe	19	Ta karakter (s tem problemom se je dosti kasneje, sicer drugače, a zanimivo ubadal August Strindberg) pomeni polnost osvobojenega človeka in ga je odkrila renesansa, seveda v povezavi z vsemi drugimi, tudi epohalnimi odkritji.
00007846-n	slv:exe	2	Staremu predsedniku Jegorju Strojevu, ki je zaradi zakona o nezdružljivosti funkcij kak mesec omahoval, ali naj ostane tretji najmočnejši človek Ruske federacije ali pa naj se povsem posveti guvernerskim opravilom v orlovski oblasti, je predsednik Vladimir Putin za slovo podelil red zaslug za domovino.
00007846-n	slv:exe	20	Človek brez srca je človek brez ljubezni.
00007846-n	slv:exe	21	K ponižnemu človeku se sklanja Bog, ponižnemu daje veliko milosti in po ponižanju ga povišuje v slavo.
00007846-n	slv:exe	22	V običajnih okoliščinah do časa, ko začutimo žejo, izgubimo že približno odstotek telesne teže s tekočino, to je pri 75 kilogramov težkem človeku 75 dekagramov.
00007846-n	slv:exe	23	»e se pri tem poveča teža prihodnosti v subjektivnem gospodinjenju z izkušnjami, je to zagotovo povezano s tehnično-industrijsko preoblikovanim svetom, ki človeka sili k vedno krajšim časovnim obdobjem, ko lahko nabira nove izkušnje in se lahko prilagodi vedno hitreje izzvanim spremembam.
00007846-n	slv:exe	24	Precej pozneje se je pojavil pri Sandiju Čolniku v njegovem Večernem gostu in opazil sem, da je to ta isti človek iz članka, ki ga že hranim v fasciklu.
00007846-n	slv:exe	25	Tak človek se bo sicer obdal z več predmeti, a le onimi, ki so uporabni in koristni za delo (priročen telefonski imenik, stojalo s pisali - zanimive oblike, nenavaden koledar...
00007846-n	slv:exe	26	Tak človek skuša vselej in za vsako ceno strogo ločevati zasebno življenje od službenega, delo postavlja na prvo mesto, materialne dobrine mu zelo veliko pomenijo.
00007846-n	slv:exe	27	Zdravniška združenja in farmacevtske družbe, pogosto ob podpori združenj obolelih, oznanjajo v začetku novega stoletja novo zdravilstvo, v katerem ni več prostora za zdravega človeka.
00007846-n	slv:exe	28	Poročite se s komerkoli, ker se ne boste več čutila počaščena in rešena, če vas bo človek z veliko kulturo sprejel v svoje naročje in vam odpustil, vam spregledal, da ste se rodila slovenskim staršem!
00007846-n	slv:exe	29	Sodišča odločajo o zadevah ljudi.
00007846-n	slv:exe	3	In če velja, da znanost lahko deluje le v svobodnem okolju, je obenem tudi neodtujljiva pravica vsakega človeka, da mu tvegane tehnologije ne kratijo človeškega dostojanstva in ne jemljejo njegove svobode.
00007846-n	slv:exe	30	Po njegovem mnenju (pri pisanju pravne obtožbe naj bi zaprosil tudi za pravno pomoč) naj bi bile vsakemu človeku, ki proti svoji volji služi vojaški rok storjene krivice, kot so omejevanje svobode, vsiljevanje proti volji posameznika in izguba prihodka.
00007846-n	slv:exe	31	(2) Vsak človek ima štiri osnovna čustva: to so JEZA, ŽALOST, STRAH in VESELJE.
00007846-n	slv:exe	32	Osnovno sporočilo plesnih in glasbenih nastopov ter recitalov je bilo, da je merilo vseh stvari človek, ne glede na drugačnost, s čimer so se spomnili dneva strpnosti in splošne deklaracije človekovih pravic.
00007846-n	slv:exe	33	Pravzaprav smo človeka v obeh primerih ubili in ga tako po splošnem mnenju kvečjemu od-rešili vse hujših predsmrtnih muk.
00007846-n	slv:exe	34	Na seznamu italijanskih mest, ki jih duši brezposelnost, je na prvem mestu Enna na Siciliji, kjer so uradno našteli 35,4 odstotka ljudi brez dela.
