# Multilingual Central Repository	glg	http://adimen.si.ehu.es/web/MCR/	CC BY 3.0 
00001740-a	lemma	capaz
00001740-n	lemma	entidade
00001740-v	lemma	alentar
00001740-v	lemma	respirar
00002098-a	lemma	incapaz
00002312-a	lemma	abaxial
00002312-a	lemma	dorsal
00002527-a	lemma	adaxial
00002527-a	lemma	ventral
00002684-n	lemma	cousa
00002684-n	lemma	obxecto
00002684-n	lemma	obxecto físico
00002684-n	lemma	obxecto inanimado
00002730-a	lemma	acroscópico
00002843-a	lemma	basiscópico
00002956-a	lemma	abdutor
00003131-a	lemma	adutor
00003356-a	lemma	incipiente
00003356-a	lemma	nacente
00003939-a	lemma	agonizante
00003939-a	lemma	moribundo
00004413-a	lemma	abreviado
00004413-a	lemma	resumido
00004475-n	lemma	organismo
00004475-n	lemma	ser
00004980-a	lemma	integral
00005205-a	lemma	absoluto
00006032-a	lemma	comparativo
00006032-a	lemma	relativo
00006336-a	lemma	absorbente
00006484-n	lemma	célula
00007347-n	lemma	axente causal
00007347-n	lemma	causa
00007813-a	lemma	non absorbente
00007846-n	lemma	alma
00007846-n	lemma	humano
00007846-n	lemma	individuo
00007846-n	lemma	mortal
00007846-n	lemma	persoa
00007846-n	lemma	ser humano
00008206-a	lemma	adsorbente
00008595-a	lemma	non adsorbente
00008734-a	lemma	absorbible
00008734-a	lemma	absorbíbel
00008877-a	lemma	adsorbible
00008877-a	lemma	adsorbíbel
00009046-a	lemma	abstemio
00009978-a	lemma	alarbe
00009978-a	lemma	comellón
00009978-a	lemma	gorxón
00009978-a	lemma	lambón
00009978-a	lemma	lampantín
00009978-a	lemma	lapadoiras
00009978-a	lemma	lapón
00009978-a	lemma	larfón
00009978-a	lemma	larpeiro
00009978-a	lemma	larpán
00009978-a	lemma	láparo
00010435-v	lemma	actuar
00010435-v	lemma	comportarse
00010435-v	lemma	obrar
00011757-a	lemma	abstracto
00012362-a	lemma	conceptual
00013160-a	lemma	concreto
00013887-a	lemma	abondoso
00013887-a	lemma	abundante
00013887-a	lemma	de abondo
00014549-v	lemma	estar activo
00014549-v	lemma	moverse
00015388-n	lemma	animal
00015388-n	lemma	besta
00015388-n	lemma	criatura
00015388-n	lemma	fauna
00015713-v	lemma	quedar durmido
00015720-a	lemma	repleto
00016350-a	lemma	cheo
00016647-a	lemma	verde
00016702-v	lemma	cotelear
00016702-v	lemma	monear
00016702-v	lemma	topenear
00016756-a	lemma	escaso
00017222-n	lemma	flora
00017222-n	lemma	planta
00017282-v	lemma	adormecer
00017282-v	lemma	durmir
00017352-a	lemma	maltratado
00017688-a	lemma	non maltratado
00017782-a	lemma	aceptable
00017782-a	lemma	aceptábel
00017865-v	lemma	deitarse
00017865-v	lemma	ir para a cama
00017865-v	lemma	retirarse
00018158-v	lemma	erguerse
00018158-v	lemma	levantarse
00018158-v	lemma	poñerse de pé
00018158-v	lemma	saír da cama
00018584-a	lemma	inaceptable
00018584-a	lemma	inaceptábel
00019128-n	lemma	elemento natural
00019128-n	lemma	obxecto natural
00019131-a	lemma	accesible
00019131-a	lemma	accesíbel
00019613-n	lemma	substancia
00019874-a	lemma	inaccesible
00019874-a	lemma	inaccesíbel
00020090-n	lemma	substancia
00020133-v	lemma	estar alerta
00020133-v	lemma	estar pendente
00020449-v	lemma	desvelar
