# Norwegian Wordnet	nob	http://www.nb.no/spraakbanken/tilgjengelege-ressursar/leksikalske-ressursar	wordnet 
00001740-v	lemma	puste
00002684-n	lemma	effekt
00002684-n	lemma	gjenstand
00002684-n	lemma	ting
00004032-v	lemma	sukke
00005205-a	lemma	fullstendig
00005526-v	lemma	stønne
00005815-v	lemma	hoste
00006032-a	lemma	relativ
00006484-n	lemma	celle
00007328-v	lemma	gjespe
00007347-n	lemma	årsak
00007846-n	lemma	hode
00007846-n	lemma	individ
00007846-n	lemma	mann
00007846-n	lemma	menneske
00007846-n	lemma	person
00009631-v	lemma	rykke
00010435-v	lemma	oppføre seg
00011757-a	lemma	abstrakt
00013160-a	lemma	konkret
00013887-a	lemma	tallrikt
00014201-v	lemma	skjelve
00015388-n	lemma	dyr
00015388-n	lemma	dyreart
00015388-n	lemma	krek
00017222-n	lemma	plante
00017222-n	lemma	planteslag
00017222-n	lemma	plantevekst
00017782-a	lemma	akseptabel
00017782-a	lemma	appetittlig
00018158-v	lemma	stå opp
00018526-v	lemma	våkne
00019131-a	lemma	tilgjengelig
00019613-n	lemma	masse
00020827-n	lemma	stoff
00021265-n	lemma	føde
00021265-n	lemma	kost
00021265-n	lemma	mat
00021766-a	lemma	nøyaktig
00023271-n	lemma	kunnskap
00023646-v	lemma	besvime
00023773-n	lemma	motiv
00023773-n	lemma	motivasjon
00024720-n	lemma	stilling
00024720-n	lemma	tilstand
00024996-a	lemma	ny
00025203-v	lemma	bekymre
00026385-v	lemma	slappe av
00027167-n	lemma	sted
00028270-n	lemma	periode
00028270-n	lemma	tid
00028270-n	lemma	tidsrom
00028565-v	lemma	smile
00029677-n	lemma	prosess
00030358-n	lemma	handling
00031820-v	lemma	le
00031921-n	lemma	relasjon
00031921-n	lemma	sammenheng
00031974-a	lemma	aktiv
00032613-n	lemma	besittelse
00032613-n	lemma	eie
00032613-n	lemma	eiendom
00032733-a	lemma	behendig
00032823-n	lemma	relasjon
00034213-n	lemma	fenomen
00034213-n	lemma	foreteelse
00034213-n	lemma	opplevelse
00035189-n	lemma	prestasjon
00036362-v	lemma	vaske
00037298-v	lemma	barbere
00038262-n	lemma	retning
00039297-n	lemma	kontakt
00039592-a	lemma	passiv
00044353-a	lemma	mulig
00044760-a	lemma	akutt
00045123-a	lemma	kronisk
00046177-n	lemma	stikke av
00046522-n	lemma	røre
00047029-a	lemma	avhengig
00050037-n	lemma	registrering
00051045-a	lemma	tilstrekkelig
00051192-n	lemma	hjemkomst
00051696-a	lemma	upassende
00052246-a	lemma	inkompetent
00053097-n	lemma	avskjed
00053691-a	lemma	klebrig
00054285-v	lemma	unnfange
00056311-n	lemma	innvandring
00063014-n	lemma	rekord
00063652-n	lemma	framgang
00063652-n	lemma	suksess
00066191-v	lemma	gråte
00069531-a	lemma	estetisk
00069879-v	lemma	skade
00070965-n	lemma	feil
00073713-n	lemma	fordreining
00074624-n	lemma	avkall
00074624-n	lemma	unnlatelse
00074834-v	lemma	blø
00076196-n	lemma	tabbe
00077645-a	lemma	redd
00077950-v	lemma	kvele
00078138-v	lemma	fryse
00078760-v	lemma	behandle
00081725-v	lemma	helbrede
00081725-v	lemma	hele
00082241-a	lemma	aggressiv
00088339-v	lemma	forgifte
00089351-n	lemma	gjenvinning
00089351-n	lemma	tilbakelevering
00089750-v	lemma	smitte
00091311-a	lemma	overvåken
00092366-n	lemma	auksjon
00092690-v	lemma	komme seg
00094448-a	lemma	levende
00099951-n	lemma	tryllekunst
00100551-v	lemma	mosjonere
00101434-v	lemma	strekke
00102586-v	lemma	skade
00103317-v	lemma	rødme
00104051-a	lemma	ambisiøs
00105554-v	lemma	spøke
00106960-v	lemma	kjøre ned
00112312-n	lemma	dytt
00113818-a	lemma	sint
00116744-a	lemma	bitter
00118238-a	lemma	død
00120574-a	lemma	anonym
00122661-n	lemma	skudd
00123170-v	lemma	veksle
00134780-n	lemma	knytteneveslag
00135718-a	lemma	upassende
00136354-a	lemma	skyldig
00137313-v	lemma	påvirke
00142191-v	lemma	forme
00143914-v	lemma	vikle
00150287-v	lemma	justere
00150505-a	lemma	elokvent
00150505-a	lemma	veltalende
00152558-v	lemma	tørke
00152727-n	lemma	diagnose
00153898-a	lemma	skamfull
00154433-n	lemma	støtte
00155143-v	lemma	stige
00156101-a	lemma	påståelig
00156601-v	lemma	tilta
00156601-v	lemma	vokse
00158503-v	lemma	øke
00159620-n	lemma	fristelse
00162688-v	lemma	erstatte
00163233-n	lemma	formål
00163233-n	lemma	hensikt
00166172-n	lemma	tur
00167077-a	lemma	karismatisk
00167446-n	lemma	sjakk
00171618-n	lemma	knep
00172710-n	lemma	måte
00173220-a	lemma	gravid
00173338-v	lemma	fjerne
00174412-n	lemma	skritt
00180228-n	lemma	forsett
00180413-n	lemma	aksept
00181476-a	lemma	automatisk
00181781-n	lemma	valg
00182213-n	lemma	avstemning
00182571-n	lemma	primærvalg
00182843-a	lemma	manuell
00183053-a	lemma	tilgjengelig
00183505-n	lemma	avstemning
00186616-a	lemma	våken
00187337-n	lemma	mål
00187337-n	lemma	scoring
00190783-n	lemma	løsning
00192880-a	lemma	uvitende
00198451-n	lemma	forfremmelse
00198451-n	lemma	opprykk
00201058-n	lemma	passasje
00202284-n	lemma	motstand
00202284-n	lemma	motvilje
00203342-n	lemma	avvisning
00205295-a	lemma	frisk
00205885-v	lemma	forbedre
00205885-v	lemma	styrke
00205885-v	lemma	utvikle
00210259-v	lemma	råtne
00210848-a	lemma	skallet
00212205-n	lemma	avgang
00213694-n	lemma	løslatelse
00213903-n	lemma	dispensasjon
00217728-a	lemma	vakker
00220522-n	lemma	mord
00220739-a	lemma	vakker
00221178-n	lemma	blodsutgytelse
00221627-a	lemma	fæl
00222485-n	lemma	selvmord
00224901-v	lemma	svekke
00226071-v	lemma	tynne ut
00227595-n	lemma	offer
00230033-v	lemma	forbedre
00230033-v	lemma	styrke
00230033-v	lemma	utvikle
00233335-v	lemma	begrense
00234892-n	lemma	omslag
00239230-n	lemma	initiativ
00240293-v	lemma	forstørre
00241038-v	lemma	skrumpe
00241689-v	lemma	skrumpe
00242580-v	lemma	forene
00243606-a	lemma	blond
00243900-v	lemma	forkorte
00247439-a	lemma	blodig
00248512-v	lemma	eldes
00249501-n	lemma	framskritt
00249721-a	lemma	modig
00249852-v	lemma	modne
00250181-v	lemma	vokse
00250739-a	lemma	dumdristig
00258854-n	lemma	rettelse
00260622-n	lemma	reform
00260648-v	lemma	fornye
00260648-v	lemma	reparere
00260648-v	lemma	utbedre
00262792-a	lemma	modig
00265673-v	lemma	forbedre
00265673-v	lemma	styrke
00265673-v	lemma	utvikle
00267522-n	lemma	vedlikehold
00268112-n	lemma	service
00269989-a	lemma	lys
00271946-v	lemma	stabilisere seg
